"content_type_id","app_label","model","permission codename","Administration","All","Order","Account","Webmaster"
22,"admin","logentry","add_logentry",,"x",,,"x"
22,"admin","logentry","change_logentry",,"x",,,"x"
22,"admin","logentry","delete_logentry",,"x",,,"x"
3,"auth","group","add_group",," ",,,
3,"auth","group","change_group",," ",,,
3,"auth","group","delete_group",," ",,,
2,"auth","permission","add_permission",," ",,,
2,"auth","permission","change_permission",," ",,,
2,"auth","permission","delete_permission",," ",,,
4,"auth","user","add_user",,,,,
4,"auth","user","change_user"," ",,,,
4,"auth","user","delete_user",,,,,
10,"cms","cmsplugin","add_cmsplugin",,,,,"x"
10,"cms","cmsplugin","change_cmsplugin",,,,,"x"
10,"cms","cmsplugin","delete_cmsplugin",,,,,"x"
13,"cms","globalpagepermission","add_globalpagepermission",,,,,"x"
13,"cms","globalpagepermission","change_globalpagepermission",,,,,"x"
13,"cms","globalpagepermission","delete_globalpagepermission",,,,,"x"
11,"cms","page","add_page",,,,,"x"
11,"cms","page","change_page",,,,,"x"
11,"cms","page","delete_page",,,,,"x"
11,"cms","page","publish_page",,,,,"x"
11,"cms","page","view_page",,,,,"x"
12,"cms","pagemoderatorstate","add_pagemoderatorstate",,,,,"x"
12,"cms","pagemoderatorstate","change_pagemoderatorstate",,,,,"x"
12,"cms","pagemoderatorstate","delete_pagemoderatorstate",,,,,"x"
14,"cms","pagepermission","add_pagepermission",,,,,"x"
14,"cms","pagepermission","change_pagepermission",,,,,"x"
14,"cms","pagepermission","delete_pagepermission",,,,,"x"
15,"cms","pageuser","add_pageuser",,,,,"x"
15,"cms","pageuser","change_pageuser",,,,,"x"
15,"cms","pageuser","delete_pageuser",,,,,"x"
16,"cms","pageusergroup","add_pageusergroup",,,,,"x"
16,"cms","pageusergroup","change_pageusergroup",,,,,"x"
16,"cms","pageusergroup","delete_pageusergroup",,,,,"x"
9,"cms","placeholder","add_placeholder",,,,,"x"
9,"cms","placeholder","change_placeholder",,,,,"x"
9,"cms","placeholder","delete_placeholder",,,,,"x"
18,"cms","placeholderreference","add_placeholderreference",,,,,"x"
18,"cms","placeholderreference","change_placeholderreference",,,,,"x"
18,"cms","placeholderreference","delete_placeholderreference",,,,,"x"
19,"cms","staticplaceholder","add_staticplaceholder",,,,,"x"
19,"cms","staticplaceholder","change_staticplaceholder",,,,,"x"
19,"cms","staticplaceholder","delete_staticplaceholder",,,,,"x"
17,"cms","title","add_title",,,,,"x"
17,"cms","title","change_title",,,,,"x"
17,"cms","title","delete_title",,,,,"x"
8,"cms","usersettings","add_usersettings",,,,,"x"
8,"cms","usersettings","change_usersettings",,,,,"x"
8,"cms","usersettings","delete_usersettings",,,,,"x"
33,"cmsplugin_filer_file","filerfile","add_filerfile",,,,,"x"
